資料読み日テレ,,,,,,,,
目いらないよな,,,,,,,,
岡崎なんか汚いｗｗｗｗ,,,,,,,,
なんかパンみたいな髪型,,,,,,,,
カメラ高くして,,,,,,,,
いっけええええええええ,,,,,,,,
ガラガラ,,,,,,,,
まｗきｗのｗ,,,,,,,,
迷わせるほどのメンツじゃねえだろｗｗ,,,,,,,,
パススピードあげろ,,,,,,,,
協会の犬,,,,,,,,
すでに遅い,,,,,,,,
( _ω_)ｽﾔｧ,,,,,,,,
やらなきゃ意味ないよ,,,,,,,,
練習試合ですね,,,,,,,,
いきなりはじまったｗｗ,,,,,,,,
まけた,,,,,,,,
ｗ,,,,,,,,
パラグアイやっちゃえ,,,,,,,,
ｗｗｗ,,,,,,,,
アー瀬なる,,,,,,,,
フィールド悪いな,,,,,,,,
あ,,,,,,,,
おい,,,,,,,,
早速ロスト,,,,,,,,
ココ！パラグアイ！,,,,,,,,
はえぇ,,,,,,,,
録画？,,,,,,,,
ｗｗｗｗ,,,,,,,,
でた,,,,,,,,
,,,,ああああ,,,,aaaaa
DMM,,,,,,,,
出ただろ,,,,,,,,
川島は絶対チョンボする,,,,,,,,
メスばっかやん,,,,,,,,
もう弱い,,,,,,,,
モタ・・・モタ・・・,,,,,,,,
ｗｗｗｗｗ,,,,,,,,
黄色い,,,,,,,,
不買企業一覧,,,,,,,,
負けろ,,,,,,,,
なんこれ、タダで見れそう,,,,,,,,
負けたな、風呂はいるか,,,,,,,,
松木不足,,,,,,,,
女子？,,,,,,,,
にっぽー,,,,,,,,
にっぽー,,,,,,,,
声援うっせえ！,,,,,,,,
さぁまたまたまた負け試合を確認しよぉ,,,,,,,,
パラグアイか,,,,,,,,
乾だけが最高,,,,,,,,
乾は本番で活躍するぞ,,,,,,,,
・・・,,,,,,,,
にいっぽー,,,,,,,,
ぼろ負けしろ～,,,,,,,,
子供やろｗｗ,,,,,,,,
LIVE（録画）,,,,,,,,
そりゃ中立地だからガラガラよ,,,,,,,,
既によっわｗ,,,,,,,,
うまい,,,,,,,,
もうはじまってるのかｗ,,,,,,,,
うめええ,,,,,,,,
あ,,,,,,,,
ネタバレすると０－３,,,,,,,,
はやくPK与えろ,,,,,,,,
いいねー,,,,,,,,
うまし,,,,,,,,
もう弱い,,,,,,,,
ｗ,,,,,,,,
あぶね,,,,,,,,
,,,,,,,,
パラグアイ弱いけどそれ以上に弱い日本,,,,,,,,
え,,,,,,,,
川島ｗｗｗ,,,,,,,,
ああ,,,,,,,,
にいっぽー代表,,,,,,,,
もうやばいｗｗ,,,,,,,,
おい,,,,,,,,
いけえええええええええええええええええ,,,,,,,,
パラグアイ頑張れ,,,,,,,,
うまいわ,,,,,,,,
いいなぁ、そういう攻撃したいなぁ,,,,,,,,
あぶないｗｗｗ,,,,,,,,
おわってないぞ,,,,,,,,
スーパーサイヤ人は？,,,,,,,,
負けたわ,,,,,,,,
すごいじゃんにわかしかいないじゃん,,,,,,,,
おｃ,,,,,,,,
なんであいつフリーにするんだ,,,,,,,,
もうザコイｗｗｗ,,,,,,,,
おいおい,,,,,,,,
はやいな,,,,,,,,
ボロ負けしろ,,,,,,,,
キーパーこわいわ,,,,,,,,
カウンター,,,,,,,,
お,,,,,,,,
もう失点しそうな雰囲気ｗ,,,,,,,,
あーもうつよい,,,,,,,,
川島やぞ,,,,,,,,
メンバーは今日の方がよさそう,,,,,,,,
鹿島ってるな,,,,,,,,
いいで,,,,,,,,
お,,,,,,,,
おｋ,,,,,,,,
うどん,,,,,,,,
上がらない,,,,,,,,
おっそ,,,,,,,,
うまい,,,,,,,,
いい,,,,,,,,
いいじゃん,,,,,,,,
お,,,,,,,,
前半０分で失点するところだったぜ,,,,,,,,
お,,,,,,,,
お,,,,,,,,
いけ,,,,,,,,
川島ギャグキャラすぎるww,,,,,,,,
まえまえ,,,,,,,,
前線がおせー,,,,,,,,
え,,,,,,,,
んー戻りが速い,,,,,,,,
>>1 9508 チヨン氏 ね,,,,,,,,
いいじゃん,,,,,,,,
いいよ,,,,,,,,
乾ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!,,,,,,,,
おい,,,,,,,,
え,,,,,,,,
おおお,,,,,,,,
おｋ,,,,,,,,
JAXA,,,,,,,,
ええ,,,,,,,,
乾絶対打つよね,,,,,,,,
宇宙,,,,,,,,
ｋｓ,,,,,,,,
山口メンバ０,,,,,,,,
宇宙へ,,,,,,,,
調子こくなｗｗｗｗｗｗｗｗｗｗｗｗｗ,,,,,,,,
蛍砲,,,,,,,,
宇宙,,,,,,,,
今日Bチームでしょ,,,,,,,,
おっしいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい！！！！,,,,,,,,
山口いらねー,,,,,,,,
宇宙,,,,,,,,
アホが山口,,,,,,,,
HSB,,,,,,,,
まあもう打っていけ,,,,,,,,
見飽きたわｗ,,,,,,,,
下手くそｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,,,,,,,,
ｗｗｗｗｗｗｗｗｗｗ,,,,,,,,
宇宙企画,,,,,,,,
キャプテンが一番下手,,,,,,,,
ゴリラｗ,,,,,,,,
キャンチョメ,,,,,,,,
ととのえろ,,,,,,,,
金髪ｗ,,,,,,,,
長友ｗｗ,,,,,,,,
誰だあの金髪,,,,,,,,
