"RT @webstyleking: ⚽国際親善試合⚽🇯🇵 日本 vs パラグアイ 🇵🇾前半戦キックオフ！！！#daihyo #日本代表 #SAMURAIBLUE #Worldcup","22:05:00"
"代表戦の解説が都並と北澤という悪夢。 #daihyo","22:05:00"
"RT @SoccerKingJP: 🇯🇵スタメン発表🇵🇾日本代表、パラグアイ戦のスタメン発表！　山口蛍がキャプテン、香川真司が先発復帰🔻記事はこちらhttps://t.co/xG9igq2oHu🗣編集部より「#日本代表 vs #パラグアイ代表 戦は、日本時間22：…","22:05:01"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:01"
"岳と香川が合うイメージがない #daihyo","22:05:01"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:01"
"RT @webstyleking: ⚽国際親善試合⚽🇯🇵 日本 vs パラグアイ 🇵🇾前半戦キックオフ！！！#daihyo #日本代表 #SAMURAIBLUE #Worldcup","22:05:01"
"見ますよ！#daihyo https://t.co/PzNNL7gGg5","22:05:02"
"コロンビアを迷わせる？日本が迷ってるじゃんか#daihyo","22:05:02"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:02"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:02"
"RT @SoccerKingJP: 🇯🇵スタメン発表🇵🇾日本代表、パラグアイ戦のスタメン発表！　山口蛍がキャプテン、香川真司が先発復帰🔻記事はこちらhttps://t.co/xG9igq2oHu🗣編集部より「#日本代表 vs #パラグアイ代表 戦は、日本時間22：…","22:05:03"
"パラグアイ戦、柴崎スタメンは嬉しい。大迫・岡崎のツートップがスタメンで見たかったな。頑張れ日本代表。せめて一点。#daihyo #日本代表","22:05:03"
"【テキスト速報】日本 22:05 パラグアイhttps://t.co/S2BoO0mB4s #gekisaka #daihyo https://t.co/UGNfR83uSd","22:05:03"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:03"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:03"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:03"
"この期に及んでメンバー決まってないって本当絶望するな #daihyo","22:05:03"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:03"
"2試合連続無得点だから攻撃の形を作って点取ってほしい#daihyo","22:05:03"
"10人もスタメン変えてきたのは，もう匙を投げていこう！って気なのか＃daihyo https://t.co/onOkLyhWm8","22:05:03"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:04"
"蛍でいいの？#daihyo","22:05:04"
"RT @footalk_sosal: 【２２時キックオフ！日本代表 スタメン発表！🇵🇾】▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍▼FW9 岡崎慎司13 武藤嘉紀…","22:05:04"
"ワールドカップ前ラストゲーム。会場のインスブルックはスキージャンプファンにはおなじみ。2度のオリンピックを経験した街でもあります。 #daihyo https://t.co/C0RGPgZsSL","22:05:04"
"RT @SoccerKingJP: 🇯🇵スタメン発表🇵🇾日本代表、パラグアイ戦のスタメン発表！　山口蛍がキャプテン、香川真司が先発復帰🔻記事はこちらhttps://t.co/xG9igq2oHu🗣編集部より「#日本代表 vs #パラグアイ代表 戦は、日本時間22：…","22:05:04"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:05"
"日本vsパラグアイはじまった #daihyo","22:05:06"
"RT @SoccerKingJP: 🇯🇵スタメン発表🇵🇾日本代表、パラグアイ戦のスタメン発表！　山口蛍がキャプテン、香川真司が先発復帰🔻記事はこちらhttps://t.co/xG9igq2oHu🗣編集部より「#日本代表 vs #パラグアイ代表 戦は、日本時間22：…","22:05:06"
"RT @webstyleking: ⚽国際親善試合⚽🇯🇵 日本 vs パラグアイ 🇵🇾前半戦キックオフ！！！#daihyo #日本代表 #SAMURAIBLUE #Worldcup","22:05:06"
"#daihyo 好ゲームしろとかもう思ってないから、せめて未来に向けていい形を作ってほしいね。せめて未来に活きるような。","22:05:06"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:07"
"⚽パラグアイ戦はじまる。ワクワクさせておくれよ。  #daihyo  #日本代表","22:05:08"
"そうだ、そんぐらいの大ナタなんだよ必要なのは#サッカー#サッカー日本代表#daihyo","22:05:10"
"始まったずら。#daihyo","22:05:10"
"この解説ってことはパラグアイは偽名だね。 #daihyo","22:05:10"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:11"
"RT @gekisaka: 【テキスト速報】日本 22:05 パラグアイhttps://t.co/S2BoO0mB4s #gekisaka #daihyo https://t.co/UGNfR83uSd","22:05:11"
"サッカー！！！絶対勝つ！！大丈夫！！！#daihyo","22:05:11"
"はじまった#daihyo","22:05:11"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:11"
"RT @GAMBA_OFFICIAL: 本日の日本代表vsパラグアイ代表との国際親善試合に東口選手が先発出場！！ワールドカップ本大会出場に向けて素晴らしいパフォーマンスを期待しています！！また14日から「東口選手応援キャンペーン」も実施！こちらもお願いします！https:/…","22:05:11"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:11"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:12"
"さっ、代表戦見よっか🇯🇵🇵🇾#daihyo","22:05:12"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:12"
"スタメン10人入れ替え、ブレブレ😧#サッカー日本代表 #パラグアイ戦 #daihyo","22:05:12"
"RT @jfa_samuraiblue: 【試合開始まであと30分！】国際親善試合#SAMURAI BLUE vs パラグアイ代表🇵🇾6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #…","22:05:12"
"キックオフ#JPNPAR #JPNvPAR 🇯🇵🆚🇵🇾 #daihyo #ntv","22:05:12"
"今日のスタメンには期待してる(｀・ω・´) #daihyo","22:05:12"
"国際親善試合SAMURAI BLUE (日本代表) ０‐０ パラグアイ代表前半戦キックオフ！#jfa #daihyo #JPN","22:05:12"
"ｵｰﾆｨｯﾎﾟｰｰｰ #soccer #daihyo #ntv","22:05:12"
