蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の	助詞,終助詞,*,*,*,*,の,ノ,ノ
、	記号,読点,*,*,*,*,、,、,、
パスミス	名詞,固有名詞,一般,*,*,*,パスミス,パスミス,パスミス
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
jfa	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
samuraiblue	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
失点	名詞,サ変接続,*,*,*,*,失点,シッテン,シッテン
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
🇵🇾📺	記号,一般,*,*,*,*,*
日本テレビ	名詞,固有名詞,組織,*,*,*,日本テレビ,ニホンテレビ,ニホンテレビ
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
全国	名詞,一般,*,*,*,*,全国,ゼンコク,ゼンコク
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
中継	名詞,サ変接続,*,*,*,*,中継,チュウケイ,チューケイ
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
▷	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
zhOvP	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
ejyb	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
jfa	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
力	名詞,一般,*,*,*,*,力,チカラ,チカラ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
2018	名詞,数,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
kosetsutj	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
音声	名詞,一般,*,*,*,*,音声,オンセイ,オンセイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
槙野	名詞,固有名詞,人名,姓,*,*,槙野,マキノ,マキノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ
マイク	名詞,一般,*,*,*,*,マイク,マイク,マイク
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ
とけ	動詞,非自立,*,*,五段・カ行イ音便,命令ｅ,とく,トケ,トケ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
livedoornews	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
、	記号,読点,*,*,*,*,、,、,、
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許す	動詞,自立,*,*,五段・サ行,基本形,許す,ユルス,ユルス
(	名詞,サ変接続,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
)	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
ー	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
footalk	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
sosal	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
🇯🇵	記号,一般,*,*,*,*,*
VS	名詞,固有名詞,組織,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
